leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
LALIGA,1,{'Rodríguez':'3'''},,,,,,CD Málaga,,,,,,-542246400000,1952-10-26,1952/1953,3,"{'Hermida':'42'',44''','Atienza':'20'''}",,,,,,Celta,,,,,,7
LALIGA,0,,,,,,,R. Sociedad,,,,,,-527731200000,1953-04-12,1952/1953,3,"{'Carlos Torres':'18'',70''','Atienza':'89'''}",,,,,,Celta,,,,,,27
LALIGA,1,{'Martínez':'35'''},,,,,,Racing,,,,,,-529545600000,1953-03-22,1952/1953,1,{'Hermida':'44'''},,,,,,Celta,,,,,,25
LALIGA,0,,,,,,,Real Valladolid,,,,,,-544665600000,1952-09-28,1952/1953,2,{'Eliseo':'28'''},,,,,,Celta,,,,,,3
LALIGA,1,{'Roque Olsen':'89'''},,,,,,Real Madrid,,,,,,-525916800000,1953-05-03,1952/1953,2,"{'Hermida':'70''','Atienza':'28'''}",,,{'Eliseo':'56'''},,,Celta,,,,,,30
LALIGA,1,{'Noguera':'87'''},,,,,,Real Zaragoza,,,,,,-539827200000,1952-11-23,1952/1953,6,"{'Hermida':'88''','Villar':'79''','Amoedo':'50'',57''','Eliseo':'30'''}",,,,,,Celta,,,,,,11
LALIGA,0,,,,,,,Real Oviedo,,,,,,-531964800000,1953-02-22,1952/1953,3,"{'Villar':'85''','Atienza':'52'''}",,,,,,Celta,,,,,,21
LALIGA,0,,,,,,,Sevilla,,,,,,-536198400000,1953-01-04,1952/1953,4,"{'Hermida':'69''','Amoedo':'66''','Carlos Torres':'62'''}",,,,,,Celta,,,,,,14
LALIGA,0,,,,,,,Sporting,,,,,,-527126400000,1953-04-19,1952/1953,3,"{'Eliseo':'31''','Atienza':'10'''}",,,,,,Celta,,,,,,28
LALIGA,1,{'Badenes':'12'''},,,,,,Valencia,,,,,,-534384000000,1953-01-25,1952/1953,1,{'Hermida':'60'''},,,,,,Celta,,,,,,17
